DOPC	HA	0.090	1.3400	HAL2
DOPC	HB	0.090	1.3400	HAL2
DOPC	C2	0.170	2.275	CTL1
DOPC	HS	0.090	1.3200	HAL1
DOPC	O21	-0.490	1.6500	OSL
DOPC	C21	0.900	2.00	CL
DOPC	O22	-0.630	1.70	OBL
DOPC	C22	-0.220	2.010	CTL2
DOPC	H2R	0.090	1.3400	HAL2
DOPC	H2S	0.090	1.3400	HAL2
DOPC	C3	0.080	2.010	CTL2
DOPC	HX	0.090	1.3400	HAL2
DOPC	HY	0.090	1.3400	HAL2
DOPC	O31	-0.490	1.6500	OSL
DOPC	C31	0.900	2.00	CL
DOPC	O32	-0.630	1.70	OBL
DOPC	C32	-0.220	2.010	CTL2
DOPC	H2X	0.090	1.3400	HAL2
DOPC	H2Y	0.090	1.3400	HAL2
DOPC	C23	-0.180	2.010	CTL2
DOPC	H3R	0.090	1.3400	HAL2
DOPC	H3S	0.090	1.3400	HAL2
DOPC	C24	-0.180	2.010	CTL2
DOPC	H4R	0.090	1.3400	HAL2
DOPC	H4S	0.090	1.3400	HAL2
DOPC	C25	-0.180	2.010	CTL2
DOPC	H5R	0.090	1.3400	HAL2
DOPC	H5S	0.090	1.3400	HAL2
DOPC	C26	-0.180	2.010	CTL2
DOPC	H6R	0.090	1.3400	HAL2
DOPC	H6S	0.090	1.3400	HAL2
DOPC	C27	-0.180	2.010	CTL2
DOPC	H7R	0.090	1.3400	HAL2
DOPC	H7S	0.090	1.3400	HAL2
DOPC	C28	-0.180	2.010	CTL2
DOPC	H8R	0.090	1.3400	HAL2
DOPC	H8S	0.090	1.3400	HAL2
DOPC	C29	-0.150	2.09	CEL1
DOPC	H9R	0.150	1.25	HEL1
DOPC	C210	-0.150	2.09	CEL1
DOPC	0C21	-0.150	2.09	CEL1
DOPC	H10R	0.150	1.25	HEL1
DOPC	C211	-0.180	2.010	CTL2
DOPC	1C21	-0.180	2.010	CTL2
DOPC	H11R	0.090	1.3400	HAL2
DOPC	H11S	0.090	1.3400	HAL2
DOPC	C212	-0.180	2.010	CTL2
DOPC	2C21	-0.180	2.010	CTL2
DOPC	H12R	0.090	1.3400	HAL2
DOPC	H12S	0.090	1.3400	HAL2
DOPC	C213	-0.180	2.010	CTL2
DOPC	3C21	-0.180	2.010	CTL2
DOPC	H13R	0.090	1.3400	HAL2
DOPC	H13S	0.090	1.3400	HAL2
DOPC	C214	-0.180	2.010	CTL2
DOPC	4C21	-0.180	2.010	CTL2
DOPC	H14R	0.090	1.3400	HAL2
DOPC	H14S	0.090	1.3400	HAL2
DOPC	C215	-0.180	2.010	CTL2
DOPC	5C21	-0.180	2.010	CTL2
DOPC	H15R	0.090	1.3400	HAL2
DOPC	H15S	0.090	1.3400	HAL2
DOPC	C216	-0.180	2.010	CTL2
DOPC	6C21	-0.180	2.010	CTL2
DOPC	H16R	0.090	1.3400	HAL2
DOPC	H16S	0.090	1.3400	HAL2
DOPC	C217	-0.180	2.010	CTL2
DOPC	7C21	-0.180	2.010	CTL2
DOPC	H17R	0.090	1.3400	HAL2
DOPC	H17S	0.090	1.3400	HAL2
DOPC	C218	-0.270	2.040	CTL3
DOPC	8C21	-0.270	2.040	CTL3
DOPC	H18R	0.090	1.3400	HAL3
DOPC	H18S	0.090	1.3400	HAL3
DOPC	H18T	0.090	1.3400	HAL3
DOPC	C33	-0.180	2.010	CTL2
DOPC	H3X	0.090	1.3400	HAL2
DOPC	H3Y	0.090	1.3400	HAL2
DOPC	C34	-0.180	2.010	CTL2
DOPC	H4X	0.090	1.3400	HAL2
DOPC	H4Y	0.090	1.3400	HAL2
DOPC	C35	-0.180	2.010	CTL2
DOPC	H5X	0.090	1.3400	HAL2
DOPC	H5Y	0.090	1.3400	HAL2
DOPC	C36	-0.180	2.010	CTL2
DOPC	H6X	0.090	1.3400	HAL2
DOPC	H6Y	0.090	1.3400	HAL2
DOPC	C37	-0.180	2.010	CTL2
DOPC	H7X	0.090	1.3400	HAL2
DOPC	H7Y	0.090	1.3400	HAL2
DOPC	C38	-0.180	2.010	CTL2
